Product Name,Current Factory,Recommended Factory,Current Lead Time,Optimized Lead Time,Lead Time Reduction,State/Province,Country/Region,Priority,Lead Time Reduction (%)
Hair Toffee,The Other Factory,Lot's O' Nuts,9.24,5.6,3.64,Arizona,United States,High,39.39
Laffy Taffy,Sugar Shack,The Other Factory,9.64,7.75,1.9,Florida,United States,High,19.71
Wonka Bar - Milk Chocolate,Wicked Choccy's,Secret Factory,8.95,7.18,1.77,Texas,United States,High,19.78
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Secret Factory,8.95,7.18,1.77,Illinois,United States,High,19.78
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Secret Factory,8.77,7.18,1.59,Illinois,United States,High,18.13
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Secret Factory,8.77,7.19,1.58,Illinois,United States,High,18.02
Everlasting Gobstopper,Secret Factory,The Other Factory,9.05,7.74,1.31,Florida,United States,Medium,14.48
Wonka Gum,Secret Factory,The Other Factory,9.09,7.82,1.27,Virginia,United States,Medium,13.97
Wonka Bar - Fudge Mallows,Lot's O' Nuts,The Other Factory,9.11,7.87,1.24,Kentucky,United States,Medium,13.61
SweeTARTS,Sugar Shack,Wicked Choccy's,9.16,8.51,0.65,Delaware,United States,Medium,7.1
Nerds,Sugar Shack,Wicked Choccy's,9.15,8.52,0.63,New York,United States,Medium,6.89
Fizzy Lifting Drinks,Sugar Shack,Secret Factory,5.64,5.15,0.49,Illinois,United States,Low,8.69
Fun Dip,Sugar Shack,Secret Factory,6.57,6.15,0.42,Illinois,United States,Low,6.39
